Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with precipitation amount >= 1mm for England
Areal series, starting in 1891
Last updated 01-Jul-2025 11:38
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1933   11.5   11.9   11.7    7.3   11.4   10.7   10.4    6.6    8.2   13.1    9.2    5.5    32.2    30.3    27.7    30.5   117.4
1934   13.0    2.4   14.2   13.0    7.2    8.4    7.3   12.7   10.8   14.4    9.1   22.6    20.9    34.5    28.4    34.3   135.1
1935    8.7   13.8    6.2   16.4    6.2   16.9    5.3    7.2   16.9   16.4   19.1   15.1    45.0    28.8    29.4    52.3   148.1
1936   18.4   12.2   11.7    9.2    5.7   13.3   19.6    6.4   13.1   11.0   14.2   13.7    45.6    26.7    39.3    38.3   148.5
1937   18.2   18.1   15.0   13.4   11.3    8.3    8.8    6.1   10.5    9.1    8.2   14.7    50.0    39.8    23.2    27.9   141.8
1938   17.8    6.6    3.7    1.7   11.5    9.1   13.0   11.8   12.0   16.6   14.9   17.4    39.1    16.9    34.0    43.5   136.2
1939   18.9    9.4   11.6   11.6    6.1   10.5   18.0   10.9    5.5   15.4   18.4    8.6    45.7    29.4    39.4    39.2   145.0
1940    9.0   12.4   11.6   11.4    7.5    4.3   15.4    4.0    8.5   14.0   17.3   12.2    30.0    30.5    23.7    39.7   127.5
1941   13.5   15.4   11.3    7.7    9.6    5.1   10.7   18.3    3.4   11.4   14.1    8.3    41.1    28.6    34.1    28.9   128.7
1942   13.7    5.3   10.0    7.6   13.1    3.6   11.5   13.5   11.7   13.3    6.9   16.2    27.3    30.7    28.6    31.9   126.4
1943   19.2    8.0    4.4    8.1   10.2   10.9    9.0   13.9   11.8   11.4   13.6    8.0    43.4    22.7    33.8    36.9   128.5
1944   12.2    8.6    3.4    8.8    6.8   11.8   11.8    9.2   12.9   16.2   19.6   11.3    28.8    19.0    32.7    48.7   132.5
1945   12.7   11.7    6.3    8.3   13.0   14.6    8.5   10.3   11.1    9.6    4.9   14.1    35.7    27.5    33.4    25.7   125.1
1946   11.5   12.2    6.7    7.8   10.1   16.4   10.6   17.2   15.4    6.7   19.2   16.0    37.9    24.6    44.2    41.3   149.9
1947   13.6    9.1   21.3   11.4   10.8   11.0   11.4    2.1    9.0    4.4   11.8   12.3    38.7    43.5    24.6    25.1   128.2
1948   22.3    9.7    5.0   10.0    9.6   15.7    8.0   13.4    9.0   10.7    9.5   13.2    44.4    24.5    37.1    29.3   136.1
1949    8.7    7.3    7.0    9.5   10.3    4.3    6.5    7.3    6.6   14.1   15.8   14.0    29.3    26.8    18.1    36.5   111.5
